	source_file	sentence	begin	end	annotator	_annotation	text	_sentence_text	annotation
0	037f220f-7797-4b35-bcf0-201336c4127b.txt	037f220f-7797-4b35-bcf0-201336c4127b.txt_173-368	290	301	yixiao	"w.c.CompletenessAnswer(ReasonforIncompleteness=What is ""the barrier""?, begin=290, end=301)"	the barrier	first, alcohol is a solvent, which means it can dissolve other substances. when you drink alcohol, it can break down the barrier between your stomach and your throat, causing a burning sensation.	"What is ""the barrier""?"
1	075398ee-9f9f-4ff7-97aa-7d0315844130.txt	075398ee-9f9f-4ff7-97aa-7d0315844130.txt_288-541	288	295	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=Does not answer the part about whether the myofascial release therapy be helpful only if regularly treated., begin=288, end=295)	ANSWER1	"ANSWER1:
A muscle knot, also called a trigger point, is a tight area within muscle tissue that causes pain in other parts of the body. the knots often form in response to muscle overuse or injury. muscle knots can also be caused by psychological stress."	Does not answer the part about whether the myofascial release therapy be helpful only if regularly treated.
2	075398ee-9f9f-4ff7-97aa-7d0315844130.txt	075398ee-9f9f-4ff7-97aa-7d0315844130.txt_1272-2027	1272	1279	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=Does not answer about treating knots with heat or ice. Also, does not address the question about myofascial release therapy., begin=1272, end=1279)	ANSWER2	"ANSWER2:
A ""muscle knotting up"" is called a ""tetanic contraction"", which means the muscle contracted by a constant stream if nerve impulses telling it to do so. the causes can vary from phycological to chemical to pathological. psychological reasons usually involve stresses and panic. the most common chemical reason it happens is because of a buildup of lactic acid inside of the muscle tissue. the act of contracting a muscle is mostly a chemical reaction started by a nerve impulse to where the muscle tissue uses glucose, then releases lactic acid into the blood to be carried away and (hopefully) neutralized. if your blood flow cannot move it away fast enough, the lactic acid builds up in the muscle tissue and makes the nerve impulses go haywire."	Does not answer about treating knots with heat or ice. Also, does not address the question about myofascial release therapy.
3	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt_395-556	395	402	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=The answer is not convincing enough as they just give a very generic reason., begin=395, end=402)	ANSWER1	"ANSWER1:
We are not naturally predisposed to keeping our backs straight. we have to consciously remind ourselves to do it because it is not comfortable to do so."	The answer is not convincing enough as they just give a very generic reason.
4	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt_953-1182	953	960	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=The answer is not sufficient since it does not answer all parts of the question and describes the human evolution., begin=953, end=960)	ANSWER2	"ANSWER2:
Homo sapiens evolved in an environment in which they rarely sat and ran for hours every day to survive.. today's humans are standing less running less squatting less and sitting a lot more than they've ever been able to."	The answer is not sufficient since it does not answer all parts of the question and describes the human evolution.
5	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt	03fd2c88-e3e9-4ba5-8641-fa7814df6b08.txt_395-556	404	466	yixiao	w.c.CompletenessAnswer(ReasonforIncompleteness=Why are we not naturally predisposed to keeping our backs straight?, begin=404, end=466)	We are not naturally predisposed to keeping our backs straight	"ANSWER1:
We are not naturally predisposed to keeping our backs straight. we have to consciously remind ourselves to do it because it is not comfortable to do so."	Why are we not naturally predisposed to keeping our backs straight?
6	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_665-990	665	672	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=This answer does not address the question., begin=665, end=672)	ANSWER2	"ANSWER2:
One of the early things your immune system does as it's developing is to ""learn"" what things it encounters are *you*. unfortunately, this isn't perfect, either from the very beginning or later in life, and it'll occasionally fail to delete immune cells that target particular proteins and the like on your own cells."	This answer does not address the question.
7	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_665-990	665	672	yixiao	w.c.CompletenessAnswer(ReasonforIncompleteness=The answer should also tell us how and why our body fails to delete immune cells and why does that cause the system to attack certain cells., begin=665, end=672)	ANSWER2	"ANSWER2:
One of the early things your immune system does as it's developing is to ""learn"" what things it encounters are *you*. unfortunately, this isn't perfect, either from the very beginning or later in life, and it'll occasionally fail to delete immune cells that target particular proteins and the like on your own cells."	The answer should also tell us how and why our body fails to delete immune cells and why does that cause the system to attack certain cells.
8	0725d873-e32c-4c8e-bbcf-8e3eb6a8a0cd.txt	0725d873-e32c-4c8e-bbcf-8e3eb6a8a0cd.txt_122-347	122	129	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=Does not list any actual health benefits of sweating., begin=122, end=129)	ANSWER1	"ANSWER1:
Yes, sweating from heat does have health benefits. when your body temperature rises, your body releases sweat to help cool itself down. this process helps regulate your body temperature and keep you from overheating."	Does not list any actual health benefits of sweating.
9	059fa085-f357-478a-83c1-fc5933bbad6a.txt	059fa085-f357-478a-83c1-fc5933bbad6a.txt_174-768	174	181	rachneet	w.c.CompletenessAnswer(ReasonforIncompleteness=Does not address the benefits of oxidants., begin=174, end=181)	ANSWER1	"ANSWER1:
Many necessary biological processes create atoms or molecules called radicals. a radical is an atom or molecule that has an unbound valence electron. that electron wants to become bound. in doing so, it can cause damage to parts of our cells, including dna (look up the free radical theory of aging). oxidants are a type of radical, usually either a single oxygen atom or a hydroxyl radical. anti-oxidants bind with these radicals and neutralize them

QUESTION:
I keep seeing antioxidant foods portrayed as good and healthy, but what are oxidants and why is oxidation bad for the body?"	Does not address the benefits of oxidants.
