	source_file	sentence	begin	end	annotator	_annotation	text	_sentence_text	annotation
0	0242d81a-2c1b-4021-9aa1-c5cfcf38a784.txt	0242d81a-2c1b-4021-9aa1-c5cfcf38a784.txt_109-628	118	184	yixiao	w.c.Irrelevant(Reasonforirrelevance=This part does not tell useful information for answering the question. This information is also not used in the later part of the answer., begin=118, end=184)	Many plants will readily grow in water, this is called hydroponics	"ANSWER1:
Many plants will readily grow in water, this is called hydroponics 
https://en.m.wikipedia.org/wiki/hydroponics

you can kill a plant by overwatering it by drowning the roots, or by adding too much water too often and not allowing the plant to dry out some between watering, this can cause root rot which is fatal, or by adding chemicals or fertilizers to the water which can build up and become toxic

QUESTION:
How can i kill a plant by overwatering it, yet propagations of the same plant will grow in water?"	This part does not tell useful information for answering the question. This information is also not used in the later part of the answer.
1	05b4333c-1c42-4ede-b62c-830c38cbfea2.txt	05b4333c-1c42-4ede-b62c-830c38cbfea2.txt_2128-2865	2210	2865	rachneet	w.c.Irrelevant(Reasonforirrelevance=These sentences are repetitive an add no new information to the answer., begin=2210, end=2865)	"when you look at a bright light, the light activates the rods and cones in your retina. the rods and cones are light-sensitive cells that send signals to the brain about the light that they are seeing. the brain then interprets these signals as an image. the ""mark"" that you see when you look at something bright is actually an afterimage. an afterimage is an image that continues to be seen even after the original image is no longer being seen. afterimages can be positive or negative. a positive afterimage is when the image is the same color as the original object. a negative afterimage is when the image is the opposite color of the original object."	"the ""mark"" that you see after looking at a bright light is a positive afterimage. when you look at a bright light, the light activates the rods and cones in your retina. the rods and cones are light-sensitive cells that send signals to the brain about the light that they are seeing. the brain then interprets these signals as an image. the ""mark"" that you see when you look at something bright is actually an afterimage. an afterimage is an image that continues to be seen even after the original image is no longer being seen. afterimages can be positive or negative. a positive afterimage is when the image is the same color as the original object. a negative afterimage is when the image is the opposite color of the original object."	These sentences are repetitive an add no new information to the answer.
2	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_665-990	792	990	rachneet	w.c.Irrelevant(begin=792, end=990)	unfortunately, this isn't perfect, either from the very beginning or later in life, and it'll occasionally fail to delete immune cells that target particular proteins and the like on your own cells.	"ANSWER2:
One of the early things your immune system does as it's developing is to ""learn"" what things it encounters are *you*. unfortunately, this isn't perfect, either from the very beginning or later in life, and it'll occasionally fail to delete immune cells that target particular proteins and the like on your own cells."	None
3	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_992-1202	992	1040	rachneet	w.c.Irrelevant(Reasonforirrelevance=The sentences are not related to the asked question but just talk about diseases in life in a generic way., begin=992, end=1040)	the list of autoimmune diseases is unfortunately	the list of autoimmune diseases is unfortunately [very long](https://www.webmd.com/a-to-z-guides/autoimmune-diseases) (and that's not anywhere near a complete list of them), but type 1 diabetes is one of those.	The sentences are not related to the asked question but just talk about diseases in life in a generic way.
4	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_139-524	199	257	yixiao	w.c.Irrelevant(Reasonforirrelevance=This is not relevant to the question which asks about immune system attacking someone's own cells., begin=199, end=257)	by attacking foreign invaders, such as viruses or bacteria	"ANSWER1:
The body's immune system is designed to protect us by attacking foreign invaders, such as viruses or bacteria. in people with type 1 diabetes, the body's immune system mistakenly attacks and destroys the insulin-producing cells in the pancreas. scientists believe this process is triggered by a combination of genetic susceptibility and environmental factors, such as viruses."	This is not relevant to the question which asks about immune system attacking someone's own cells.
5	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt	00f64ae1-c96a-4b2e-9912-c40e295e2565.txt_139-524	508	523	yixiao	w.c.Irrelevant(Reasonforirrelevance=Answer 2 only says our immune system attacks our own cells because it fails to do certain things but it doesn't say why it fails and how. The answer is too superficial., begin=508, end=523)	such as viruses	"ANSWER1:
The body's immune system is designed to protect us by attacking foreign invaders, such as viruses or bacteria. in people with type 1 diabetes, the body's immune system mistakenly attacks and destroys the insulin-producing cells in the pancreas. scientists believe this process is triggered by a combination of genetic susceptibility and environmental factors, such as viruses."	Answer 2 only says our immune system attacks our own cells because it fails to do certain things but it doesn't say why it fails and how. The answer is too superficial.
6	03235d4c-dcb0-4cac-8dc2-5d17b072f5ac.txt	03235d4c-dcb0-4cac-8dc2-5d17b072f5ac.txt_1403-1510	1403	1510	rachneet	w.c.Irrelevant(Reasonforirrelevance=The speed of air during a sneeze is not relevant here., begin=1403, end=1510)	the air that comes out of your nose and mouth during a sneeze can reach speeds of up to 100 miles per hour!	the air that comes out of your nose and mouth during a sneeze can reach speeds of up to 100 miles per hour!	The speed of air during a sneeze is not relevant here.
7	03235d4c-dcb0-4cac-8dc2-5d17b072f5ac.txt	03235d4c-dcb0-4cac-8dc2-5d17b072f5ac.txt_1511-1682	1511	1682	rachneet	w.c.Irrelevant(Reasonforirrelevance=reaction time of a sneeze is also not very relevant., begin=1511, end=1682)	in fact, a sneeze is one of the fastest human body reactions. it only takes about 0.1 seconds from the time the sneeze center is stimulated until the air starts to escape.	in fact, a sneeze is one of the fastest human body reactions. it only takes about 0.1 seconds from the time the sneeze center is stimulated until the air starts to escape.	reaction time of a sneeze is also not very relevant.
8	02062ffd-f0bb-4566-847c-fc7057d4ce0b.txt	02062ffd-f0bb-4566-847c-fc7057d4ce0b.txt_224-387	242	386	yixiao	w.c.Irrelevant(Reasonforirrelevance=I am not sure how is the fluid related to pain feeling by reading this answer., begin=242, end=386)	your body immediately sends out rescuers in the form of fluids - those extra fluids in the tissues compress the small blood vessels/ capillaries	"ANSWER1:
Answer:  your body immediately sends out rescuers in the form of fluids - those extra fluids in the tissues compress the small blood vessels/ capillaries."	I am not sure how is the fluid related to pain feeling by reading this answer.
9	0725d873-e32c-4c8e-bbcf-8e3eb6a8a0cd.txt	0725d873-e32c-4c8e-bbcf-8e3eb6a8a0cd.txt_471-748	480	748	yixiao	w.c.Irrelevant(Reasonforirrelevance=The whole answer seems focuses on exercise and how is that beneficial to health. It is not what the question asks., begin=480, end=748)	There are some minor benefits however the primary benefit of exercise is not the sweat, it's the building of muscle, the increased heart rate, and all the usual stuff. you don't get healthier from reg exercise *because you sweat*, you get the benefits *and you sweat*.	"ANSWER2:
There are some minor benefits however the primary benefit of exercise is not the sweat, it's the building of muscle, the increased heart rate, and all the usual stuff. you don't get healthier from reg exercise *because you sweat*, you get the benefits *and you sweat*."	The whole answer seems focuses on exercise and how is that beneficial to health. It is not what the question asks.
10	04ac3833-c4d7-4bcb-a3f4-f133819ef4df.txt	04ac3833-c4d7-4bcb-a3f4-f133819ef4df.txt_1168-1405	1177	1346	yixiao	w.c.Irrelevant(Reasonforirrelevance=This part doesn't answer the question but to confirm that brain is active in sleep., begin=1177, end=1346)	Sleep is a very active state for the brain. it's during sleep that the brain consolidates memories, processes and organizes information, and regulates mood and emotions.	"ANSWER2:
Sleep is a very active state for the brain. it's during sleep that the brain consolidates memories, processes and organizes information, and regulates mood and emotions. sleep also gives the brain time to rest and repair itself."	This part doesn't answer the question but to confirm that brain is active in sleep.
11	02408398-02c5-4afc-866d-4225e869d49a.txt	02408398-02c5-4afc-866d-4225e869d49a.txt_2888-3546	2954	3090	rachneet	w.c.Irrelevant(begin=2954, end=3090)	in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true	"(https://knowyourdna.com/humans-same-dna-as-bananas/)

ANSWER2:
> in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true

that is a common, but not ironclad, definition of ""species"". there's no one definition that works universally: it can be ""can but usually *don't* interbreed"" (say, because their ranges don't overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can't interbreed with d."	None
12	02408398-02c5-4afc-866d-4225e869d49a.txt	02408398-02c5-4afc-866d-4225e869d49a.txt_2888-3546	3251	3290	rachneet	w.c.Irrelevant(Reasonforirrelevance=The sentences do not help in answering the question and oare rather confusing., begin=3251, end=3290)	say, because their ranges don't overlap	"(https://knowyourdna.com/humans-same-dna-as-bananas/)

ANSWER2:
> in high school biology i was taught that an important part of the definition of a species is whether or not the offspring can breed true

that is a common, but not ironclad, definition of ""species"". there's no one definition that works universally: it can be ""can but usually *don't* interbreed"" (say, because their ranges don't overlap), or even just ""are genetically and morphologically distinct populations with little gene mixture"". in extreme cases this can get crazy: species a interbreeds with species b which interbreeds with c which interbreeds with d, but a can't interbreed with d."	The sentences do not help in answering the question and oare rather confusing.
